Title,Question,Answer,Context
User:Illegitimate Barrister,What is the significance of User:Illegitimate Barrister?,welcome user page wikipedian illegitimate barrister also known b ill barr,"Welcome to the user page of Wikipedian Illegitimate Barrister, also known as I.B. or Ill Barr."
User:StjJackson,What is the significance of User:StjJackson?,colla uais high king ireland ancestor dna test confirmed irish royalty baby crown want russia ally ever,"Colla Uais, a High King of Ireland, is my ancestor (DNA test confirmed it). I'm Irish royalty baby! CROWN ME!
I don't want Russia as an ally. EVER."
User:Kavysca,What is the significance of User:Kavysca?,scadorn,Scadorn
User:Queerly Bohemian,What is the significance of User:Queerly Bohemian?,greetings people earth welcome userpage,"Greetings, people of earth. Welcome to my userpage!"
User:TheSouthernIrishman,What is the significance of User:TheSouthernIrishman?,vote joe biden even though bernie bro despise first democrat voted along jon ossoff raphael warnock credit jon stewart making democrat started watching daily show jon stewart sorta deradicalized started watching kyle kulinski became social democrat bernie bro marianne williamson endorsement descended síl colla uais clan ol ireland royal descent dna test family background check proven,"I did vote for Joe Biden even though as Bernie Bro, I despise him. But he is the first Democrat I've voted for that won, along with Jon Ossoff and Raphael Warnock. I credit Jon Stewart for making me a Democrat. I started watching The Daily Show with Jon Stewart in 2006 when I was 13 and he sorta deradicalized me. It wasn't until 2016 when I started watching Kyle Kulinski that I became a social democrat ""Bernie Bro"".
Marianne Williamson has my endorsement for 2024.
Descended from the Síl Colla Uais clan of ol' Ireland (of royal descent). DNA-test and family background check proven."
User:Steeltree1,What is the significance of User:Steeltree1?,hello name steeltree otherwise known jack live place called kingswinford site always using wikipedia information reference many years today finally decided make account excited see looking forward contributing amazing project known wikipedia wrote th june pm time registered steeltree excited england vs tunisia today pm steeltree talk june utc love wikipedia steeltree talk june utc fan cristiano ronaldo lived kingswinford since like clean posts articles vandalised wikipedia hope make positive contributions site made simple article marvin torrentera,"Hello! My name is Steeltree1, otherwise known as Jack, I live in a place called Kingswinford

Why am I on this site? After always using Wikipedia for most of my information and reference for many years, today I finally decided to make an account on here, I am excited to see what I can do on here and looking forward to contributing to this amazing project known as Wikipedia.
I wrote this on the 14th of June, 2018. 21:34pm.
The time i registered ^
Steeltree1 is excited for England vs Tunisia today at 7pm Steeltree1 (talk) 11:25, 18 June 2018 (UTC)
I love Wikipedia! Steeltree1 (talk) 11:32, 18 June 2018 (UTC)
I'm a fan of Cristiano Ronaldo!
I have lived in Kingswinford since 2008!
I like to clean posts and articles that have been vandalised on Wikipedia!

I hope to make positive contributions to this site.

I made the simple article for Marvin Torrentera"
Andrew Adams (politician),What is the significance of Andrew Adams (politician)?,andrew adams january november american founding father lawyer jurist political leader connecticut nation revolutionary era delegate connecticut second continental congress signed articles confederation following war returned law practice appointed chief justice connecticut supreme court,"Andrew Adams (January 7, 1736 – November 26, 1797) was an American Founding Father, lawyer, jurist, and political leader in Connecticut during the nation's Revolutionary Era. As a delegate from Connecticut to the Second Continental Congress, he signed the Articles of Confederation in 1778. Following the war, he returned to his law practice, and in 1793, he was appointed Chief Justice of the Connecticut Supreme Court."
Benedict Arnold,What is the significance of Benedict Arnold?,benedict arnold january january june american born british military officer served american revolutionary war fought distinction american continental army rose rank major general defecting british general george washington given fullest trust placed command west point new york arnold planning surrender fort british forces plot discovered september whereupon fled british lines later part war arnold commissioned brigadier general british army placed command american legion led british army battle soldiers commanded name became synonymous treason betrayal united states arnold born connecticut merchant operating ships atlantic war began joined growing american army outside boston distinguished acts demonstrated intelligence bravery captured fort ticonderoga employed defensive delay tactics battle valcour island lake champlain gave american forces time prepare new york defenses performance battle ridgefield connecticut prompted promotion major general conducted operations provided americans relief siege fort stanwix key actions pivotal battles saratoga sustained leg injuries put combat several years arnold repeatedly claimed passed promotion second continental congress officers given credit accomplishments military political circles charged corruption bad acts formal inquiries usually acquitted congress investigated finances determined indebted congress borrowed money heavily maintain lavish lifestyle arnold mingled loyalist sympathizers philadelphia married loyalist family peggy shippen close friend british major john andré kept contact became head british espionage system new york many historians see facilitated arnold plans switch sides opened secret negotiations andré relayed messages british promised equivalent capture west point major american stronghold washington greatly admired arnold gave command fort july scheme surrender fort british exposed september american militiamen captured andré carrying papers revealed plot arnold escaped andré hanged arnold received commission brigadier general british army annual pension equivalent lump sum equivalent led british forces raid richmond nearby areas burned much new london connecticut ground slaughtered surrendering forces battle groton heights miles downriver town grown winter peggy moved london england well received king george iii tories frowned upon whigs army officers moved canada run merchant business sons richard henry extremely unpopular returned london permanently died ten years later,"Benedict Arnold (14 January 1741 [O.S. 3 January 1740] – June 14, 1801) was an American-born British military officer who served during the American Revolutionary War. He fought with distinction for the American Continental Army and rose to the rank of major general before defecting to the British in 1780. General George Washington had given him his fullest trust and had placed him in command of West Point in New York. Arnold was planning to surrender the fort to British forces, but the plot was discovered in September 1780, whereupon he fled to the British lines. In the later part of the war, Arnold was commissioned as a brigadier general in the British Army and placed in command of the American Legion. He led the British Army in battle against the soldiers whom he had once commanded, and his name became synonymous with treason and betrayal in the United States.
Arnold was born in Connecticut. He was a merchant operating ships in the Atlantic when the war began. He joined the growing American army outside of Boston and distinguished himself by acts that demonstrated intelligence and bravery: In 1775, he captured Fort Ticonderoga. In 1776, he employed defensive and delay tactics at the Battle of Valcour Island in Lake Champlain that gave American forces time to prepare New York's defenses. His performance in the Battle of Ridgefield in Connecticut prompted his promotion to major general. He conducted operations that provided the Americans with relief during the Siege of Fort Stanwix, and key actions during the pivotal 1777 Battles of Saratoga in which he sustained leg injuries that put him out of combat for several years.
Arnold repeatedly claimed that he was being passed over for promotion by the Second Continental Congress, and that other officers were being given credit for some of his accomplishments. Some in his military and political circles charged him with corruption and other bad acts. After formal inquiries, he was usually acquitted, but Congress investigated his finances and determined that he was indebted to Congress and that he had borrowed money heavily to maintain a lavish lifestyle.
Arnold mingled with Loyalist sympathizers in Philadelphia and married into the Loyalist family of Peggy Shippen. She was a close friend of British Major John André and kept in contact with him when he became head of the British espionage system in New York. Many historians see her as having facilitated Arnold's plans to switch sides; he opened secret negotiations with André, and she relayed their messages to each other. The British promised £20,000 (equivalent to £3,353,000 in 2023) for the capture of West Point, a major American stronghold. Washington greatly admired Arnold and gave him command of that fort in July 1780. His scheme was to surrender the fort to the British, but it was exposed in September 1780 when American militiamen captured André carrying papers which revealed the plot. Arnold escaped and André was hanged.
Arnold received a commission as a brigadier general in the British Army, an annual pension of £360 (equivalent to £60,000 in 2023), and a lump sum of over £6,000 (equivalent to £1,006,000 in 2023). He led British forces in the Raid on Richmond and nearby areas, and they burned much of New London, Connecticut, to the ground and slaughtered surrendering forces after the Battle of Groton Heights—just a few miles downriver from the town where he had grown up. In the winter of 1782, he and Peggy moved to London, England. He was well received by King George III and the Tories but frowned upon by the Whigs and most Army officers. In 1787, he moved to Canada to run a merchant business with his sons Richard and Henry. He was extremely unpopular there and returned to London permanently in 1791, where he died ten years later."
Job Bartram,What is the significance of Job Bartram?,job bartram march october member connecticut house representatives norwalk sessions may october served captain connecticut militia american revolutionary war,"Job Bartram (March 20, 1735 – October 28, 1817) was a member of the Connecticut House of Representatives from Norwalk in the sessions of May and October 1790. He served as a captain of the Connecticut Militia in the American Revolutionary War."
Daniel Bissell (general),What is the significance of Daniel Bissell (general)?,daniel bissell december american soldier administrator fifer connecticut militia american revolutionary war,"Daniel Bissell (1768 – December 14, 1833) was an American soldier and administrator.  He was a fifer in the Connecticut militia during the American Revolutionary War."
Elijah Boardman,What is the significance of Elijah Boardman?,elijah boardman march august american politician served senator connecticut born noted politically connected connecticut family served connecticut militia becoming noted merchant businessman becoming involved property land ownership connecticut ohio founded towns boardman medina ohio involvement politics also increased gradually rose ranks local national government elected connecticut legislature united states senate served senator connecticut death ohio,"Elijah Boardman (March 7, 1760 – August 18, 1823) was an American politician who served as a senator from Connecticut. Born to a noted and politically connected Connecticut family, he served in the Connecticut militia before becoming a noted merchant and businessman. Becoming involved in property and land ownership in Connecticut and Ohio, he founded the towns of Boardman and Medina in Ohio. His involvement in politics also increased, and he gradually rose through the ranks of the local, and then national government, being elected by the Connecticut legislature to the United States Senate. He served as Senator from Connecticut until his death in Ohio."
John Chester (Connecticut soldier),What is the significance of John Chester (Connecticut soldier)?,john chester militia officer public official connecticut american revolution militia officer member connecticut general assembly american revolutionary war saw action battle bunker hill battle trenton part connecticut troops join continental army left military service served speaker connecticut house representatives among public offices original member society cincinnati judge connecticut supreme court errors grandson samuel chester reid served united states navy war,"John Chester (1749–1809) was a militia officer and public official from Connecticut. Before the American Revolution, he was a militia officer and member of the Connecticut General Assembly. During the American Revolutionary War, he saw action from the Battle of Bunker Hill to the Battle of Trenton as part of Connecticut's troops, but he did not join the Continental Army, and left military service after 1776. He served as Speaker of the Connecticut House of Representatives, among other public offices, and was an original member of the Society of the Cincinnati. He was a judge of the Connecticut Supreme Court of Errors from 1788 to 1792 and from 1803 to 1807. His grandson Samuel Chester Reid served in the United States Navy during the War of 1812."
William Colfax,What is the significance of William Colfax?,william colfax july september american officer served captain george washington life guard beginning march william fifth child born george colfax born december lucy avery married april total ten children colfax tall weighed lbs blue eyes dark hair clean shaven hair powdered worn queue tied black ribbon till later years married hester schuyler cousin philip schuyler pompton august together six children together lived hester inherited schuyler colfax house wayne new jersey today museum grandson schuyler colfax th vice president united states,"William Colfax (July 3, 1756 – September 9, 1838) was an American officer who served as Captain of George Washington's Life Guard beginning on March 18, 1778.
William was the fifth child born to George Colfax (born: December 25, 1727) and Lucy Avery (married April 13, 1749), who had a total of ten children. Colfax was about 5'-10"" tall and weighed about 190-200 lbs. He had blue eyes, dark hair, and was clean shaven. His hair was powdered and worn in a queue, tied with a black ribbon, till his later years. He was married to Hester Schuyler, cousin of Philip Schuyler, of Pompton on August 27, 1783, together they had six children. Together they lived in Hester's inherited Schuyler-Colfax House in Wayne, New Jersey, which today is a museum. Their grandson was Schuyler Colfax, the 17th Vice President of the United States."
Joseph Platt Cooke,What is the significance of Joseph Platt Cooke?,joseph platt cooke january february american military officer revolutionary war connecticut politician twice delegate congress confederation born stratford connecticut graduated yale college died danbury connecticut son reverend samuel cooke elizabeth platt grandfather joseph platt also served connecticut house representatives many years appointed colonel sixteenth regiment connecticut militia revolutionary war accompanied general wolcott forces new york command state forces british burned danbury april april home built main street partially destroyed fire resigned colonelcy early home served meeting place george washington french military leaders comte de rochambeau marquis de la fayette revolutionary war cooke played active role political judicial aspects local government settled danbury represented town thirty sessions general assembly justice peace served judge probate court danbury district member council safety member connecticut house representatives represented connecticut congress confederation sixth session november december trenton new jersey january november new york new york ninth session november october new york new york served connecticut governor council also served judge connecticut supreme court errors interred danbury north main street cemetery,"Joseph Platt Cooke (January 4, 1730 – February 3, 1816) was an American military officer in the Revolutionary War, a Connecticut politician, and twice a delegate to the Congress of the Confederation. He was born in Stratford, Connecticut and graduated from Yale College in 1750. He died in Danbury, Connecticut.
He was the son of Reverend Samuel Cooke, and Elizabeth Platt. His grandfather Joseph Platt, also served in the Connecticut House of Representatives for many years.
In 1771, he was appointed colonel of the Sixteenth Regiment of the Connecticut militia, and during the Revolutionary War he accompanied General Wolcott's forces to New York in 1776. He was in command of the state forces when the British burned Danbury on April 26 and April 27, 1777. His own home, which he had built at 342 Main Street in 1770, was partially destroyed by fire. He resigned his colonelcy early in 1778. In 1781 his home served as a meeting place for George Washington and the French military leaders, the Comte de Rochambeau and the Marquis de la Fayette.
Before, during, and after the Revolutionary War, Cooke played an active role in the political and judicial aspects of local government. He settled in Danbury and from 1763 to 1783 represented the town in about thirty sessions of the general assembly. He was  justice of the peace in 1764, served as judge of the probate court for Danbury district 1776 to 1813, was a member of the council of safety in 1778, and was a member of the Connecticut House of Representatives in 1776, 1778, 1780–1782, and 1784. He represented Connecticut in the Congress of the Confederation during its sixth session (November 1, 1784 – December 24, 1784 in Trenton, New Jersey, and January 11, 1785 – November 4, 1785 in New York, New York) and its ninth session (November 5, 1787 – October 21, 1788 in New York, New York). He served on the Connecticut Governor's Council in 1803 He also served as a judge of the Connecticut Supreme Court of Errors from 1784 to 1803.
He was interred in Danbury at the North Main Street Cemetery."
Richard Douglass,What is the significance of Richard Douglass?,captain richard douglass american cooper soldier deacon politician born new london connecticut son stephen patience douglass ran successful business cooper already ships brigs sloops registered new london many shaw family flag conducting business east west indies well foreign ports lisbon barcelona amsterdam england russia coopering valuable trade especially new london colonies increasing demand bajan barbados rum,"Captain Richard Douglass (1746–1828) was an American cooper, soldier, deacon, and a politician. He was born in New London, Connecticut, in 1746 and was the son of Stephen and Patience Douglass. He ran a successful business as a cooper. In 1760, there were already more than 40 ships from brigs to sloops registered in New London. Many of them were under the Shaw Family flag conducting business in the East and West Indies, as well as foreign ports in Lisbon, Barcelona, Amsterdam, England and Russia. Coopering was a valuable trade, especially with New London and the Colonies' increasing demand for Bajan (Barbados) rum."
Stanley Griswold,What is the significance of Stanley Griswold?,stanley griswold november august democratic republican politician ohio served u senate born torrington connecticut griswold served militia revolutionary war graduating yale college taught time norwich began studying theology called first congregational church new milford connecticut preached went walpole new hampshire editor new democratic newspaper political observatory griswold continued paper spring received appointment secretary new territory michigan president thomas jefferson served first territorial secretary michigan territory serving acting governor absence governor william hull griswold ordered erection fort croghan also known fort nonsense protect livestock raids native americans griswold street detroit named honor tenure ended largely due disagreements governor accused griswold causing dissension governor militia january griswold lost trial characterized farce obliged pay penalty left office march moved ohio appointed senate fill vacancy created resignation edward tiffin serving may special election held choose successor december griswold moved illinois territory appointed federal judge serving bench lawyer death,"Stanley Griswold (November 14, 1763 – August 21, 1815) was a Democratic-Republican politician from Ohio. He served in the U.S. Senate.
Born in Torrington, Connecticut, Griswold served in the militia during the Revolutionary War. After graduating from Yale College in 1786, he taught for a time in Norwich, and began studying Theology in 1787. In 1789 he was called to the First Congregational Church in New Milford, Connecticut, where he preached until 1802.  In 1803 he went to Walpole, New Hampshire, as editor of the new Democratic newspaper The Political Observatory. Griswold continued with the paper until the spring of 1805 when he received the appointment of Secretary to the new Territory of Michigan from President Thomas Jefferson.  He served as the first territorial secretary of Michigan Territory from 1805-1808. 
In 1806, while serving as acting governor in the absence of Governor William Hull, Griswold ordered the erection of Fort Croghan, also known as Fort Nonsense, to protect livestock from raids by Native Americans.  Griswold Street in Detroit is named in his honor. 
His tenure ended largely due to disagreements with the Governor, who accused Griswold of causing dissension between the Governor and the militia.  In January 1808, Griswold lost a trial, which has been characterized as a farce, and was obliged to pay a penalty of $1,000.  He left office on March 18, 1808, and moved to Ohio. He was appointed to the Senate to fill the vacancy created by the resignation of Edward Tiffin, serving from May 18, 1809 until a special election was held to choose a successor on December 11, 1809. Griswold then moved to the Illinois Territory, where he was appointed as a federal judge, serving on the bench and as a lawyer until his death."
James Hillhouse,What is the significance of James Hillhouse?,james hillhouse october december american lawyer real estate developer politician new connecticut represented state chambers us congress february march hillhouse briefly served president pro tempore united states senate,"James Hillhouse (October 20, 1754 – December 29, 1832) was an American lawyer, real estate developer, and politician from New Haven, Connecticut. He represented the state in both chambers of the US Congress. From February to March 1801, Hillhouse briefly served as President pro tempore of the United States Senate."
Reuben Humphrey,What is the significance of Reuben Humphrey?,reuben humphrey september august united states representative new york born west simsbury hartford county connecticut september completed preparatory studies enlisted private connecticut militia revolutionary war took part several actions including battle long island received commission officer humphrey continued military service revolution discharged major held several local offices including serving connecticut house representatives keeper newgate state prison simsbury connecticut five years humphrey moved onondaga county new york farmed marcellus onondaga first judge onondaga county town supervisor onondaga elected democratic republican th united states congress holding office march march candidate renomination served onondaga town supervisor member new york state senate served onondaga public school inspector resumed farming died near marcellus august interred old village cemetery marcellus,"Reuben Humphrey (September 2, 1757 – August 12, 1831) was a United States representative from New York.
Born in West Simsbury, Hartford County, Connecticut on September 2, 1757, he completed preparatory studies and enlisted as a private in the Connecticut Militia for the Revolutionary War.  He took part in several actions, including the Battle of Long Island, and received his commission as an officer.  Humphrey continued his military service after the Revolution and was discharged as a major in 1796.
He held several local offices, including serving in the Connecticut House of Representatives in 1779, 1791 and 1793. He was Keeper of Newgate State Prison in Simsbury, Connecticut for five years.
Humphrey moved to Onondaga County, New York in 1801, and farmed in Marcellus and Onondaga. He was First Judge of Onondaga County from 1804 to 1807, and Town Supervisor of Onondaga in 1805.  In 1806 he was elected as a Democratic-Republican to the 10th United States Congress, holding office from March 4, 1807 to March 3, 1809.  He was not a candidate for renomination in 1808.
In 1810 he served again as Onondaga Town Supervisor, and he was a member of the New York State Senate from 1811 to 1815.  In 1812 he served as Onondaga's Public School Inspector.  He resumed farming, and died near Marcellus on August 12, 1831.  He was interred in the Old Village Cemetery in Marcellus."
Jabez Huntington (colonist),What is the significance of Jabez Huntington (colonist)?,jabez huntington august october merchant politician connecticut colony jabez huntington graduated yale engaged west india trade amassed fortune frequently member legislature speaker several years also member council beginning american revolutionary war owned large amount shipping lost heavily capture vessels among active committee safety war september session connecticut assembly david wooster appointed major generals death wooster jabez placed charge entire connecticut militia great exertions patriot cause heavy losses impaired physical mental powers thus compelled resign employments,"Jabez Huntington (August 7, 1719 – October 5, 1786) was a merchant and politician from Connecticut Colony.
Jabez Huntington graduated from Yale in 1741, engaged in the West India trade, and amassed a fortune. After 1759, he was frequently a member of the legislature, speaker for several years, and also a member of the council. At the beginning of the American Revolutionary War, he owned a large amount of shipping, and lost heavily by the capture of his vessels. He was among the most active on the committee of safety during the war; and in the September 1776 session of the Connecticut assembly, he and David Wooster were appointed Major Generals. On the death of Wooster in 1777, Jabez was placed in charge of the entire Connecticut militia. His great exertions in the patriot cause and his heavy losses impaired his physical and mental powers, and he was thus compelled to resign his employments in 1779."
Titus Kent,What is the significance of Titus Kent?,titus kent fl enslaved man colonial suffield connecticut enlisted connecticut militia serving throughout american revolutionary war slaveholder samuel kent suffield connecticut,"Titus Kent (fl. 1775–1783) was an enslaved man in colonial Suffield, Connecticut who enlisted in the Connecticut militia, serving throughout the American Revolutionary War. His slaveholder was Samuel Kent, from Suffield, Connecticut."
Lambert Latham,What is the significance of Lambert Latham?,lambert latham september american soldier fought american revolutionary war battle fort griswold groton connecticut september commander colonel william ledyard killed latham continued fight sustained injuries hand hand combat latham subsequently died wounds,"Lambert Latham (1768 – September 6, 1781) was an American soldier who fought during the American Revolutionary War at the battle at Fort Griswold in Groton, Connecticut on September 6, 1781.  After his commander, Colonel William Ledyard, was killed, Latham continued to fight on and sustained 33 injuries in hand-to-hand combat. Latham subsequently died of his wounds."
William Ledyard,What is the significance of William Ledyard?,lieutenant colonel william ledyard december september american military officer served connecticut militia revolutionary war conflict commanded fort griswold groton connecticut attacked british forces led benedict arnold battle fort captured british ledyard allegedly surrendered sword loyalist officer major stephen bromfield immediately killed,"Lieutenant-Colonel William Ledyard (December 6, 1738 – September 6, 1781) was an American military officer who served in the Connecticut Militia in the Revolutionary War. During the conflict, he commanded Fort Griswold in Groton, Connecticut, which was attacked by British forces led by Benedict Arnold. In the battle, the fort was captured by the British. Ledyard allegedly surrendered his sword to Loyalist officer Major Stephen Bromfield, who immediately killed him with it."
Eliphalet Lockwood,What is the significance of Eliphalet Lockwood?,eliphalet lockwood nine term member connecticut house representatives norwalk sessions may october may october october may october may october served captain connecticut militia american revolutionary war son deacon peter lockwood mary hawley beginning war july lockwood enlisted first company colonel charles webb seventh connecticut regiment discharged december assistant commissary issues fifth regiment july gave bond security henry laurens esq president continental congress successor office faithfully executing office trust assistant commissary issues american army lockwood organized first voluntary fire department norwalk home one lost british burned norwalk captain coast guards,"Eliphalet Lockwood (1741 – 1814) was a nine-term member of the Connecticut House of Representatives from Norwalk in the sessions of May and October 1790, May and October 1791, October 1794, May and October 1795, May and October 1796. He served as a captain in the Connecticut Militia during the American Revolutionary War.
He was the son of Deacon Peter Lockwood and Mary Hawley.
At the beginning of the war, on July 12, 1775, Lockwood enlisted in the First Company of Colonel Charles Webb's Seventh Connecticut Regiment, and was discharged December 24, 1775.
In 1778, he was assistant commissary of issues of the Fifth Regiment.
On July 21, 1778, he gave his bond for $5000 as security to Henry Laurens, Esq., President of the Continental Congress or his successor in office, for faithfully executing the office and trust of an Assistant Commissary of Issues in the American Army.
Lockwood organized the first voluntary fire department in Norwalk. His home was one of those lost when the British burned Norwalk.
In 1780 captain of the coast guards."
Cato Mead,What is the significance of Cato Mead?,cato mead c also spelled meed known black patriot american revolutionary war veteran buried west mississippi river mead buried near montrose cemetery montrose iowa according historian barbara macleish researching book cato mead joined th connecticut regiment continental army commanded colonel john durkee norwich connecticut sources reveal mead born enlisted private march one year enlistment serving captain john mcgregor company unclear formerly enslaved served valley forge december june contracted smallpox spending two months pennsylvania hospital early military records show mead received solder pay service continental army july known migrated iowa exact grave location cato mead unknown marker stands montrose cemetery,"Cato Mead (c. 1761 – 1846; also spelled Meed) is the only known Black Patriot (American Revolutionary War veteran) buried west of the Mississippi River. Mead is buried in or near Montrose Cemetery in Montrose, Iowa.
According to historian Barbara MacLeish, who is researching a book on Cato Mead, he joined the 4th Connecticut Regiment of the Continental Army commanded by Colonel John Durkee of Norwich, Connecticut in 1776 or 1777. Other sources reveal that Mead was born in 1762 and that he enlisted as a private on March 1, 1778, for a one-year enlistment serving in Captain John McGregor's Company. It is unclear if he was formerly enslaved. He served at Valley Forge from December 1777 through June 1778, where he contracted smallpox, spending two months in a Pennsylvania hospital. Early military records show Mead received solder's pay of $10.04 for service his in the Continental Army in July 1783. It is not known why he migrated to Iowa. While the exact grave location of Cato Mead is unknown, a marker stands at the Montrose Cemetery."
Matthew Mead (politician),What is the significance of Matthew Mead (politician)?,matthew mead august february lieutenant colonel served george washington staff american revolutionary war member connecticut house representatives norwalk sessions may may october may october,"Matthew Mead (August 20, 1736 – February 26, 1816) was a Lieutenant Colonel who served on George Washington's staff in the American Revolutionary War. He was a member of the Connecticut House of Representatives from Norwalk in the sessions of May 1779, May and October 1780, May and October 1781."
James Morris III,What is the significance of James Morris III?,james morris iii january april continental army officer connecticut american revolutionary war founder morris academy pioneer coeducation born litchfield county connecticut james morris spent early life hoping training minister however graduating yale college morris accepted commission first lieutenant continental army joined fight american independence morris captured battle germantown spent remaining war captivity upon release morris promoted rank captain supported alexander hamilton siege yorktown returned war morris began ran academy trained boys girls together rarity time james morris died south farms section town litchfield born incorporated separate entity named morris honor,"James Morris III ((1752-01-19)January 19, 1752 – (1820-04-20)April 20, 1820) was a Continental Army officer from Connecticut during the American Revolutionary War and founder of the Morris Academy, a pioneer in coeducation.
Born in Litchfield County, Connecticut, James Morris spent his early life hoping and training to be a minister. However, after graduating from Yale College, Morris accepted a commission of First Lieutenant from the Continental Army and joined the fight for American Independence. Morris was captured during the Battle of Germantown and spent most of the remaining war in captivity. Upon his release, Morris was promoted to the rank of Captain and supported Alexander Hamilton in the Siege of Yorktown. When he returned from the war, Morris began and ran an academy that trained both boys and girls together, a rarity at the time.
James Morris died in 1820.  The South Farms section of the town of Litchfield, where he was born, was incorporated as a separate entity in 1859 and re-named Morris in his honor."
Noah Phelps,What is the significance of Noah Phelps?,major general noah phelps january november american militia general justice peace judge probate twenty years delegate state convention ratified constitution united states,"Major General Noah Phelps (January 22, 1740 – November 4, 1809) was an American militia general, justice of the Peace, judge of Probate for twenty years, and was a Delegate to the 1788 state convention that ratified the Constitution of the United States."
Clapp Raymond,What is the significance of Clapp Raymond?,clapp raymond june member connecticut house representatives norwalk sessions may october october october,"Clapp Raymond (June 20, 1732 – 1795) was a member of the Connecticut House of Representatives from Norwalk in the sessions of May and October 1778, October 1779, and October 1783."
James Richards (politician),What is the significance of James Richards (politician)?,james richards october may member connecticut house representatives norwalk sessions october october served captain connecticut militia american revolutionary war son samuel richards elizabeth latham began life clerk becoming afterward soldier sailor present arms battle norwalk invasion danbury richards wife ruth hanford daughter samuel hanford granddaughter eleazer hanford great granddaughter rev thomas hanford norwalk ruth hanford mother daughter moses comstock,"James Richards (October 29, 1723 – May 17, 1810) was a member of the Connecticut House of Representatives from Norwalk in the sessions of October 1779, and October 1782. He served as a captain in the Connecticut Militia during the American Revolutionary War.
He was the son of Samuel Richards and Elizabeth Latham.
He began life as a clerk, becoming afterward a soldier and sailor. He was present, in arms, at the Battle of Norwalk, and the Invasion of Danbury.
Richards' wife Ruth Hanford, was a daughter of Samuel Hanford, a granddaughter of Eleazer Hanford, and a great-granddaughter of Rev. Thomas Hanford, of Norwalk. Ruth Hanford's mother was a daughter of Moses Comstock."
Jesse Root,What is the significance of Jesse Root?,jesse root december march american minister lawyer coventry connecticut american revolution served connecticut council safety connecticut militia originally appointed lieutenant colonel peekskill rose rank adjutant general connecticut line delegate continental congress connecticut sat chief justice connecticut supreme court well state court judge served connecticut house representatives served connecticut constitutional convention also member first company governor foot guard serving commandant may october grandson austin cornelius dunham,"Jesse Root (December 28, 1736 – March 29, 1822) was an American minister and lawyer from Coventry, Connecticut. During the American Revolution he served on the Connecticut Council of Safety and in the Connecticut militia. Originally appointed as a lieutenant colonel in Peekskill in 1777, he rose to the rank of Adjutant-General of the Connecticut Line. He was a delegate to the Continental Congress for Connecticut from 1778 until 1782, and sat as chief justice of the Connecticut Supreme Court from 1796 to 1807 as well as a state court judge. He served in the Connecticut House of Representatives and served in the Connecticut Constitutional Convention. He was also a member of the First Company, Governor's Foot Guard, serving as its commandant between May 1798 and October 1802.
His grandson was Austin Cornelius Dunham."
Nathaniel Saltonstall (American Revolution),What is the significance of Nathaniel Saltonstall (American Revolution)?,nathaniel saltonstall connecticut militiaman captain connecticut naval privateer ships american revolutionary war confused another connecticut naval officer surname dudley saltonstall nathaniel saltonstall command old fort better known fort trumbull new london connecticut start war subsequently served naval commander service nathaniel shaw new london saltonstall served first lieutenant first voyage gun ship general putnam commissioned captain second voyage putnam go board ship putnam armed fitted warlike manner cruise enemies independent states america per commission instructions president congress whose instructions strictly obey saltonstall captured several prizes captain putnam additionally served captain ship le despencer later war captain saltonstall led volunteer soldiers battle groton heights later life nathaniel saltonstall moved marietta ohio died august buried mound cemetery marietta along commodore abraham whipple continental navy many american revolutionary war soldiers pioneers lake saltonstall saltonstall mountain branford connecticut named honor,"Nathaniel Saltonstall (1727–1807) was a Connecticut militiaman and a captain of Connecticut naval privateer ships during the American Revolutionary War  (not to be confused with another Connecticut naval officer with the same surname, Dudley Saltonstall).
Nathaniel Saltonstall was in command of the ""old fort"" (better known as Fort Trumbull) at New London, Connecticut at the start of the war, and subsequently served as a naval commander in service of Nathaniel Shaw of New London. Saltonstall served as first lieutenant on the first voyage of the 24-gun ship General Putnam; he was commissioned as captain for the second voyage of the Putnam:

You are to go on board our ship Putnam armed and fitted in a warlike manner for a cruise against the enemies of the Independent States of America as per your commission and instructions from the President of Congress and whose instructions you are to strictly obey.

Saltonstall captured several prizes while captain of the Putnam. He additionally served as captain of the ship Le Despencer. Later in the war, Captain Saltonstall led volunteer soldiers during the Battle of Groton Heights. Later in life, Nathaniel Saltonstall moved to Marietta, Ohio, where he died on August 1, 1807. He is buried at Mound Cemetery in Marietta, along with Commodore Abraham Whipple of the Continental Navy and many other American Revolutionary War soldiers and pioneers.
Lake Saltonstall and Saltonstall Mountain in Branford, Connecticut are named in his honor."
Samuel Cook Silliman,What is the significance of Samuel Cook Silliman?,samuel cook silliman also samuel cook syllyman november february member connecticut house representatives norwalk served several non consecutive terms starting ending member connecticut house representatives following sessions may may october october may may october october may october october may october october may october may may october may october,"Samuel Cook Silliman (also Samuel Cook Syllyman) (November 12, 1742 – February 14, 1795) was a member of the Connecticut House of Representatives from Norwalk. He served several non-consecutive terms starting in 1779 and ending in 1794.
He was a member of the Connecticut House of Representatives in all of the following sessions:

May 1779
May 1780, October 1780
October 1781, May 1782
May 1783, October 1783
October 1784, May 1785, October 1785
October 1786, May 1787, October 1787
October 1788, May 1789, October 1789
May 1791
May 1792, October 1792
May 1794, October 1794"
