Title,Page ID,Description,Content
Roderigue Hortalez and Company,20838778,"Roderigue Hortalez and Company was a corporation created by Luis de Unzaga as coordinator of interests of Spain and France in May of 1775 in order to provide arms and financial assistance to American Revolutionaries in anticipation of the American Revolutionary War against Britain. The ruse was organized by Pierre-Augustin Caron de Beaumarchais, a French playwright, watch-maker, inventor, musician, politician, fugitive, spy, publisher, arms-dealer, and revolutionary. Weapons and materials were procured to help the Americans fight the British, enemies of France at the time, through the corporation.","Roderigue Hortalez and Company was a corporation created by Luis de Unzaga as coordinator of interests of Spain and France in May of 1775 in order to provide arms and financial assistance to American Revolutionaries in anticipation of the American Revolutionary War against Britain. The ruse was organized by Pierre-Augustin Caron de Beaumarchais, a French playwright, watch-maker, inventor, musician, politician, fugitive, spy, publisher, arms-dealer, and revolutionary. Weapons and materials were procured to help the Americans fight the British, enemies of France at the time, through the corporation."
Chasseurs-Volontaires de Saint-Domingue,40872331,"Chasseurs-Volontaires de Saint-Domingue was a Creole regiment from Saint-Domingue that was founded on 12 March 1779. Though the regiment was for non-whites, the officers were white, with the exception of Laurent François Lenoir, Marquis de Rouvray, who commanded the regiment. The regiment was disbanded in 1783.","Chasseurs-Volontaires de Saint-Domingue was a Creole regiment from Saint-Domingue that was founded on 12 March 1779. Though the regiment was for non-whites, the officers were white, with the exception of Laurent François Lenoir, Marquis de Rouvray, who commanded the regiment. The regiment was disbanded in 1783."
Sons of Liberty,505178,"The Sons of Liberty was a loosely organized, clandestine, sometimes violent, political organization active in the Thirteen American Colonies founded to advance the rights of the colonists and to fight taxation by the British government. It played a major role in most colonies in battling the Stamp Act in 1765 and throughout the entire period of the American Revolution.  Historian David C. Rapoport called the activities of the Sons of Liberty ""mob terror.""
In popular thought, the Sons of Liberty was a formal underground organization with recognized members and leaders. More likely, the name was an underground term for any men resisting new Crown taxes and laws.  The well-known label allowed organizers to make or create anonymous summons to a Liberty Tree, ""Liberty Pole"", or other public meeting-place.  Furthermore, a unifying name helped to promote inter-Colonial efforts against Parliament and the Crown's actions. Their motto became ""No taxation without representation.""

","The Sons of Liberty was a loosely organized, clandestine, sometimes violent, political organization active in the Thirteen American Colonies founded to advance the rights of the colonists and to fight taxation by the British government. It played a major role in most colonies in battling the Stamp Act in 1765 and throughout the entire period of the American Revolution.  Historian David C. Rapoport called the activities of the Sons of Liberty ""mob terror.""
In popular thought, the Sons of Liberty was a formal underground organization with recognized members and leaders. More likely, the name was an underground term for any men resisting new Crown taxes and laws.  The well-known label allowed organizers to make or create anonymous summons to a Liberty Tree, ""Liberty Pole"", or other public meeting-place.  Furthermore, a unifying name helped to promote inter-Colonial efforts against Parliament and the Crown's actions. Their motto became ""No taxation without representation.""

"
Sons of Neptune,42452728,"The Sons of Neptune was a group of colonial sailors directly associated with and on whom the Sons of Liberty may have been based. They were active before and during the American Revolution. Among those affiliated with the Sons of Neptune are John Lamb, John Morin Scott and Issac Sears. The Sons of Neptune began to defend themselves against trade restrictions imposed by the British. They were involved in the Stamp Act Crisis, the Townsend Acts, and the Boston Tea Party.","The Sons of Neptune was a group of colonial sailors directly associated with and on whom the Sons of Liberty may have been based. They were active before and during the American Revolution. Among those affiliated with the Sons of Neptune are John Lamb, John Morin Scott and Issac Sears. The Sons of Neptune began to defend themselves against trade restrictions imposed by the British. They were involved in the Stamp Act Crisis, the Townsend Acts, and the Boston Tea Party."
Spirit of '76 (sentiment),41698925,The Spirit of '76 is a patriotic sentiment typified by the zeitgeist surrounding the American Revolution. It refers to the attitude of self-determination and individual liberty made manifest in the U.S. Declaration of Independence.,The Spirit of '76 is a patriotic sentiment typified by the zeitgeist surrounding the American Revolution. It refers to the attitude of self-determination and individual liberty made manifest in the U.S. Declaration of Independence.
Staten Island Peace Conference,18437301,"The Staten Island Peace Conference was a brief informal diplomatic conference held between representatives of the British Crown and its rebellious North American colonies in the hope of bringing a rapid end to the nascent American Revolution. The conference took place on September 11, 1776, a few days after the British had captured Long Island and less than three months after the formal American Declaration of Independence. The conference was held at Billop Manor, the residence of loyalist Colonel Christopher Billop, on Staten Island, New York. The participants were the British Admiral Lord Richard Howe, and members of the Second Continental Congress John Adams, Benjamin Franklin, and Edward Rutledge.
Upon being placed in command of British land forces in the Colonies, Lord Howe had sought authority to resolve the conflict peacefully. However, his power to negotiate was by design extremely limited, which left the Congressional delegation pessimistic over a summary resolution. The Americans insisted on recognition of their recently-declared independence, which Howe was unable to grant. After just three hours, the delegates retired, and the British resumed their military campaign to control New York City.","The Staten Island Peace Conference was a brief informal diplomatic conference held between representatives of the British Crown and its rebellious North American colonies in the hope of bringing a rapid end to the nascent American Revolution. The conference took place on September 11, 1776, a few days after the British had captured Long Island and less than three months after the formal American Declaration of Independence. The conference was held at Billop Manor, the residence of loyalist Colonel Christopher Billop, on Staten Island, New York. The participants were the British Admiral Lord Richard Howe, and members of the Second Continental Congress John Adams, Benjamin Franklin, and Edward Rutledge.
Upon being placed in command of British land forces in the Colonies, Lord Howe had sought authority to resolve the conflict peacefully. However, his power to negotiate was by design extremely limited, which left the Congressional delegation pessimistic over a summary resolution. The Americans insisted on recognition of their recently-declared independence, which Howe was unable to grant. After just three hours, the delegates retired, and the British resumed their military campaign to control New York City."
"Sullivan's Island, South Carolina",134429,"Sullivan's Island, historically known as O'Sullivan's Island, is a town and island in Charleston County, South Carolina, United States, at the entrance to Charleston Harbor, with a population of 1,791 at the 2010 census, and 1,891 people in 2020. The town is part of the Charleston metropolitan area, and is considered a very affluent suburb of Charleston.
Sullivan's Island was the point of entry for approximately 40 to 50 percent of the 400,000 enslaved Africans brought to Colonial America, meaning that 99% of all African Americans have ancestors that came through the island. It has been likened to Ellis Island, the 19th-century reception point for immigrants in New York City. During the American Revolution, the island was the site of a major battle at Fort Sullivan on June 28, 1776, since renamed Fort Moultrie in honor of the American commander at the battle.
On September 23, 1989, Hurricane Hugo came ashore near Sullivan's Island; few people were prepared for the destruction that followed in its wake. The eye of the hurricane passed directly over Sullivan's Island. The Ben Sawyer Bridge was a casualty, breaking free of its locks. Before the storm was over, one end of the bridge was in the water and the other was pointing skyward. Sullivan's Island police chief, Jack Lilien, was the last person to leave the island before the bridge gave way.","Sullivan's Island, historically known as O'Sullivan's Island, is a town and island in Charleston County, South Carolina, United States, at the entrance to Charleston Harbor, with a population of 1,791 at the 2010 census, and 1,891 people in 2020. The town is part of the Charleston metropolitan area, and is considered a very affluent suburb of Charleston.
Sullivan's Island was the point of entry for approximately 40 to 50 percent of the 400,000 enslaved Africans brought to Colonial America, meaning that 99% of all African Americans have ancestors that came through the island. It has been likened to Ellis Island, the 19th-century reception point for immigrants in New York City. During the American Revolution, the island was the site of a major battle at Fort Sullivan on June 28, 1776, since renamed Fort Moultrie in honor of the American commander at the battle.
On September 23, 1989, Hurricane Hugo came ashore near Sullivan's Island; few people were prepared for the destruction that followed in its wake. The eye of the hurricane passed directly over Sullivan's Island. The Ben Sawyer Bridge was a casualty, breaking free of its locks. Before the storm was over, one end of the bridge was in the water and the other was pointing skyward. Sullivan's Island police chief, Jack Lilien, was the last person to leave the island before the bridge gave way."
Timeline of the American Revolution,225219,"Timeline of the American Revolution—timeline of the political upheaval culminating in the 18th century in which Thirteen Colonies in North America joined together for independence from the British Empire, and after victory in the Revolutionary War combined to form the United States of America. The American Revolution includes political, social, and military aspects. The revolutionary era is generally considered to have begun with the passage of the Stamp Act in 1765 and ended with the ratification of the United States Bill of Rights in 1791. The military phase of the revolution, the American Revolutionary War, lasted from 1775 to 1783.

","Timeline of the American Revolution—timeline of the political upheaval culminating in the 18th century in which Thirteen Colonies in North America joined together for independence from the British Empire, and after victory in the Revolutionary War combined to form the United States of America. The American Revolution includes political, social, and military aspects. The revolutionary era is generally considered to have begun with the passage of the Stamp Act in 1765 and ended with the ratification of the United States Bill of Rights in 1791. The military phase of the revolution, the American Revolutionary War, lasted from 1775 to 1783.

"
The Constitutional Courant,69779276,"The Constitutional Courant was a single issue colonial American-newspaper published in response to the Stamp Act of 1765. It was printed by William Goddard under an assumed name of Andrew Marvel. The newspaper vociferously attacked the Stamp Act in strong language, which caught the attention of colonial printers and royal colonial officials alike. The Courant and its general message proved popular and the newspaper was soon reprinted in other major towns and distributed elsewhere among the colonies.
The Courant, which had a publication date of September 21, 1765, prominently reprinted Benjamin Franklin's 1754 Join or Die editorial cartoon.","The Constitutional Courant was a single issue colonial American-newspaper published in response to the Stamp Act of 1765. It was printed by William Goddard under an assumed name of Andrew Marvel. The newspaper vociferously attacked the Stamp Act in strong language, which caught the attention of colonial printers and royal colonial officials alike. The Courant and its general message proved popular and the newspaper was soon reprinted in other major towns and distributed elsewhere among the colonies.
The Courant, which had a publication date of September 21, 1765, prominently reprinted Benjamin Franklin's 1754 Join or Die editorial cartoon."
The Essex Gazette,72025134,"The Essex Gazette was a weekly newspaper established in 1768 by Samuel Hall in Salem, Massachusetts, as the city's first newspaper and the first published in Massachusetts outside Boston, the colony's capital.                          it was the third newspaper to appear in Massachusetts. From its start, the newspaper was a strong proponent of American independence. The Gazette was relocated to Cambridge in 1775 following the outbreak of the American Revolutionary War with the Battles of Lexington and Concord. In early 1776, after the British army was driven from Boston, Hall moved the Gazette to the city, changing its name to The New England Chronicle.","The Essex Gazette was a weekly newspaper established in 1768 by Samuel Hall in Salem, Massachusetts, as the city's first newspaper and the first published in Massachusetts outside Boston, the colony's capital.                          it was the third newspaper to appear in Massachusetts. From its start, the newspaper was a strong proponent of American independence. The Gazette was relocated to Cambridge in 1775 following the outbreak of the American Revolutionary War with the Battles of Lexington and Concord. In early 1776, after the British army was driven from Boston, Hall moved the Gazette to the city, changing its name to The New England Chronicle."
The Providence Gazette,68735163,"The Providence Gazette was an American Revolutionary War era newspaper, and the only newspaper printed in Providence before 1775. It was first published October 20, 1762, by William Goddard and his partner John Carter in the basement of his Providence home, on a sheet of crown size, folio; an image of the king's arms decorated the title. It was printed every Saturday, from types of English and long primer. In 1768 Carter became the sole proprietor of the newspaper.
The Gazette was one among many such publications that published attacks on the Stamp Act which was roundly opposed by the colonists, and especially by the printing and publishing trade which was required to print on stamped paper, forcing the prices of newspapers and pamphlets to increase. It often published a variety of letters sent to Goddard protesting the act. Goddard discontinued his newspaper from May 11, to August 24, 1765. It started up again in January 1767 where it was operating under William and his older sister,  Mary Katherine Goddard. It wasn't until August 9, 1766, when the Stamp Act had been repealed, did The Gazette begin a permanent existence. The Gazette proved to be one of the definitive newspapers which
gave a special significance of the eighteenth-century American press.
When Benjamin Franklin became Postmaster General on July 26, 1775, he appointed Goddard as Surveyor of the Posts where he set out to inspect the post offices and postal routes of the colonies. His older sister Mary Katherine Goddard assumed full control of the newspaper.
The paper was published weekly and passionately defended the rights of the colonies before the revolution and ably supported the cause of the country during the war. After the war when American independence was established The Providence Gazette continued to promote federal Republican principles.","The Providence Gazette was an American Revolutionary War era newspaper, and the only newspaper printed in Providence before 1775. It was first published October 20, 1762, by William Goddard and his partner John Carter in the basement of his Providence home, on a sheet of crown size, folio; an image of the king's arms decorated the title. It was printed every Saturday, from types of English and long primer. In 1768 Carter became the sole proprietor of the newspaper.
The Gazette was one among many such publications that published attacks on the Stamp Act which was roundly opposed by the colonists, and especially by the printing and publishing trade which was required to print on stamped paper, forcing the prices of newspapers and pamphlets to increase. It often published a variety of letters sent to Goddard protesting the act. Goddard discontinued his newspaper from May 11, to August 24, 1765. It started up again in January 1767 where it was operating under William and his older sister,  Mary Katherine Goddard. It wasn't until August 9, 1766, when the Stamp Act had been repealed, did The Gazette begin a permanent existence. The Gazette proved to be one of the definitive newspapers which
gave a special significance of the eighteenth-century American press.
When Benjamin Franklin became Postmaster General on July 26, 1775, he appointed Goddard as Surveyor of the Posts where he set out to inspect the post offices and postal routes of the colonies. His older sister Mary Katherine Goddard assumed full control of the newspaper.
The paper was published weekly and passionately defended the rights of the colonies before the revolution and ably supported the cause of the country during the war. After the war when American independence was established The Providence Gazette continued to promote federal Republican principles."
Tory,30980,"A Tory () is an individual who supports a political philosophy known as Toryism, based on a British version of traditionalist conservatism which upholds the established social order as it has evolved through the history of Great Britain. The Tory ethos has been summed up with the phrase ""God, King (or Queen), and Country"". Tories are monarchists, were historically of a high church Anglican religious heritage, and were opposed to the liberalism of the Whig party.
The philosophy originates from the Cavaliers, a royalist faction which supported the House of Stuart during the Wars of the Three Kingdoms. The Tories, a British political party which emerged during the late 17th century, was a reaction to the Whig-controlled Parliaments that succeeded the Cavalier Parliament. As a political term, Tory was a term derived from the Irish language, that was first used in English politics during the Exclusion Crisis of 1678–1681.
It also has exponents in other parts of the former British Empire, such as the Loyalists of British America, who opposed secession during the American War of Independence. Loyalists who fled to the Canadas at the end of the conflict, known as the United Empire Loyalists, formed the support base for political cliques in Upper and Lower Canada. Toryism remains prominent in the politics of Canada and the United Kingdom. The British Conservative Party and Conservative Party of Canada, and their supporters, continue to be referred to as Tories. Adherents to traditional Toryism in contemporary times are referred to as High Tories, who typically defend the ideas of hierarchy, natural order, and aristocracy.

","A Tory () is an individual who supports a political philosophy known as Toryism, based on a British version of traditionalist conservatism which upholds the established social order as it has evolved through the history of Great Britain. The Tory ethos has been summed up with the phrase ""God, King (or Queen), and Country"". Tories are monarchists, were historically of a high church Anglican religious heritage, and were opposed to the liberalism of the Whig party.
The philosophy originates from the Cavaliers, a royalist faction which supported the House of Stuart during the Wars of the Three Kingdoms. The Tories, a British political party which emerged during the late 17th century, was a reaction to the Whig-controlled Parliaments that succeeded the Cavalier Parliament. As a political term, Tory was a term derived from the Irish language, that was first used in English politics during the Exclusion Crisis of 1678–1681.
It also has exponents in other parts of the former British Empire, such as the Loyalists of British America, who opposed secession during the American War of Independence. Loyalists who fled to the Canadas at the end of the conflict, known as the United Empire Loyalists, formed the support base for political cliques in Upper and Lower Canada. Toryism remains prominent in the politics of Canada and the United Kingdom. The British Conservative Party and Conservative Party of Canada, and their supporters, continue to be referred to as Tories. Adherents to traditional Toryism in contemporary times are referred to as High Tories, who typically defend the ideas of hierarchy, natural order, and aristocracy.

"
United States Military Lands,804207,"The United States Military Lands were land grants given to Continental Army servicemen by the United States Congress for service in the American Revolutionary War.
The United States federal government was often short of money in the country's early decades. The government's efforts to raise additional money in the early 1790s had met with considerable resistance, most notably the Whiskey Rebellion which had been provoked by a federal tax on whiskey. Nevertheless, the Congress and the administration of President George Washington faced considerable pressure to provide pensions as promised for the veterans that had secured the young nation's independence. Besides cash, the federal government's only other asset of any value was federal land.
Beginning in 1796, the Congress provided 2.6 million acres (10,500 km²) of land to Army soldiers and officers, mainly within the Northwest Territory. The decision to offer federal lands to Revolutionary War veterans helped to establish a precedent that would be repeated throughout the 19th century in which, wherever feasible, land would be bartered by the federal government in lieu of making payment in cash.","The United States Military Lands were land grants given to Continental Army servicemen by the United States Congress for service in the American Revolutionary War.
The United States federal government was often short of money in the country's early decades. The government's efforts to raise additional money in the early 1790s had met with considerable resistance, most notably the Whiskey Rebellion which had been provoked by a federal tax on whiskey. Nevertheless, the Congress and the administration of President George Washington faced considerable pressure to provide pensions as promised for the veterans that had secured the young nation's independence. Besides cash, the federal government's only other asset of any value was federal land.
Beginning in 1796, the Congress provided 2.6 million acres (10,500 km²) of land to Army soldiers and officers, mainly within the Northwest Territory. The decision to offer federal lands to Revolutionary War veterans helped to establish a precedent that would be repeated throughout the 19th century in which, wherever feasible, land would be bartered by the federal government in lieu of making payment in cash."
Vermont Republic,538613,"The Vermont Republic (French: République du Vermont), officially known at the time as the State of Vermont (French: État du Vermont), was an independent state in New England that existed from January 15, 1777, to March 4, 1791. The state was founded in January 1777, when delegates from 28 towns met and declared independence from the jurisdictions and land claims of the British colonies of Quebec, New Hampshire, and New York. The republic remained in existence for the next fourteen years, albeit without diplomatic recognition from any foreign power. On March 4, 1791, it was admitted into the United States as the State of Vermont, with the constitution and laws of the independent state continuing in effect after admission.
The delegates forbade adult slavery within their republic, although the Vermont constitution continued to make allowances for the enslavement of men under the age of 21 and women under the age of 18. Many Vermonters took part in the American Revolution on the side of the Revolution, but the Continental Congress did not recognize the independence of Vermont (then also known as the New Hampshire Grants) due to objections from New York, which had conflicting property claims.  In a response to this, members representing Vermont conducted negotiations to join the Province of Quebec, which were accepted by the British, who offered generous terms for the republic's reunion. When the British surrendered at the Siege of Yorktown in 1781, however, American independence became apparent. Vermont, later bordered on three sides by U.S. territory, ended negotiations with Britain and instead negotiated terms to become part of the United States.
Many of its citizens favored political union with the United States rather than full independence. While the Continental Congress did not allow a seat for Vermont, Vermont engaged William Samuel Johnson, representing Connecticut, to promote its interests. In 1785 the Vermont General Assembly granted Johnson title to the former King's College Tract as a form of compensation for representing Vermont.

","The Vermont Republic (French: République du Vermont), officially known at the time as the State of Vermont (French: État du Vermont), was an independent state in New England that existed from January 15, 1777, to March 4, 1791. The state was founded in January 1777, when delegates from 28 towns met and declared independence from the jurisdictions and land claims of the British colonies of Quebec, New Hampshire, and New York. The republic remained in existence for the next fourteen years, albeit without diplomatic recognition from any foreign power. On March 4, 1791, it was admitted into the United States as the State of Vermont, with the constitution and laws of the independent state continuing in effect after admission.
The delegates forbade adult slavery within their republic, although the Vermont constitution continued to make allowances for the enslavement of men under the age of 21 and women under the age of 18. Many Vermonters took part in the American Revolution on the side of the Revolution, but the Continental Congress did not recognize the independence of Vermont (then also known as the New Hampshire Grants) due to objections from New York, which had conflicting property claims.  In a response to this, members representing Vermont conducted negotiations to join the Province of Quebec, which were accepted by the British, who offered generous terms for the republic's reunion. When the British surrendered at the Siege of Yorktown in 1781, however, American independence became apparent. Vermont, later bordered on three sides by U.S. territory, ended negotiations with Britain and instead negotiated terms to become part of the United States.
Many of its citizens favored political union with the United States rather than full independence. While the Continental Congress did not allow a seat for Vermont, Vermont engaged William Samuel Johnson, representing Connecticut, to promote its interests. In 1785 the Vermont General Assembly granted Johnson title to the former King's College Tract as a form of compensation for representing Vermont.

"
Verplanck's Point,53858573,"Verplanck's Point lies at the southernmost end of the hamlet of Verplanck in the town of Cortlandt, New York in the upper northwest corner of Westchester County.  Both derive their name from the activities of the Verplanck family, established in New Amsterdam by Abraham Isaacsen Verplanck in the 1630s.","Verplanck's Point lies at the southernmost end of the hamlet of Verplanck in the town of Cortlandt, New York in the upper northwest corner of Westchester County.  Both derive their name from the activities of the Verplanck family, established in New Amsterdam by Abraham Isaacsen Verplanck in the 1630s."
Virginia Plan,318325,"The Virginia Plan (also known as the Randolph Plan or the Large-State Plan) was a proposed plan of government for the United States presented at the Constitutional Convention of 1787. The plan called for the creation of a supreme national government with three branches and a bicameral legislature. The plan was drafted by James Madison and Edmund Randolph. 
The Virginia Plan was notable for its role in setting the overall agenda for debate in the Convention and, in particular, for setting forth the idea of population-weighted representation in the proposed national legislature. The Virginia Plan favored the interests of states with large populations, and the New Jersey Plan was proposed in response to protect small state interests.

","The Virginia Plan (also known as the Randolph Plan or the Large-State Plan) was a proposed plan of government for the United States presented at the Constitutional Convention of 1787. The plan called for the creation of a supreme national government with three branches and a bicameral legislature. The plan was drafted by James Madison and Edmund Randolph. 
The Virginia Plan was notable for its role in setting the overall agenda for debate in the Convention and, in particular, for setting forth the idea of population-weighted representation in the proposed national legislature. The Virginia Plan favored the interests of states with large populations, and the New Jersey Plan was proposed in response to protect small state interests.

"
Worcester Revolt,74528965,"The Worcester Revolt, or Worcester Revolution of 1774, was a confrontation between American militiamen and the British colonial authorities in Worcester, Massachusetts on September 6, 1774, during the American Revolution.
After the Boston Tea Party in December 1773 the British reacted with the Intolerable Acts, and in particular the Massachusetts Government Act, basically revoking self-government and replacing it by military rule. Thomas Gage, the commanding officer headquartered in Boston, dissolved the Massachusetts legislature on June 17, 1774, to which the patriots reacted with a wave of protests declaring that he had no right to revoke the Colony's Charter of 1691. As tensions grew in late summer, Gage was seeking to gain control over the colony's powder magazines (Powder Alarm) and also tried to use the colony's local courts as a means to keep order. Worcester was one of the more rebellious townships, so Gage wrote to his superior in London, the Earl of Dartmouth, that he ""shall soon be obliged to march a Body of Troops into that Township, and perhaps into others, as occasion warrants, to preserve the peace"". On August 16, insurgents had already forced the closure of the courts in Berkshire County and then did the same in Hampshire County on August 30.
On the morning of September 6 a force of 4,622 militiamen marched into Worcester and lined both sides of Main Street, meant as a gauntlet for the King's appointees to pass through. When the 25 court officials arrived in town the same day, they were denied entry to the court house and were instead escorted to the Daniel Heywood tavern to await further instructions. The court officials were well aware of stories of British officials being tarred and feathered (as Boston customs official John Malcolm had been in January), while apparently none of Gage's troops appeared to protect them. Under these circumstances the officials reluctantly signed documents disavowing their appointments by George III and, hats in their hands, were forced to recant out loud their oath of office while being paraded in a procession towards the court house. Gage then had to admit to Dartmouth that Civil Government was near its end and the Courts of Justice were expiring one after another.
The Worcester Revolt demonstrated that American patriots were able to overthrow British authority without a shot being fired. It also convinced British authorities that administrative measures alone proved less and less successful to sustain British rule and that an armed confrontation has become ever more likely. On April 19 next year, the Battles of Lexington and Concord marked the start of the American Revolutionary War.","The Worcester Revolt, or Worcester Revolution of 1774, was a confrontation between American militiamen and the British colonial authorities in Worcester, Massachusetts on September 6, 1774, during the American Revolution.
After the Boston Tea Party in December 1773 the British reacted with the Intolerable Acts, and in particular the Massachusetts Government Act, basically revoking self-government and replacing it by military rule. Thomas Gage, the commanding officer headquartered in Boston, dissolved the Massachusetts legislature on June 17, 1774, to which the patriots reacted with a wave of protests declaring that he had no right to revoke the Colony's Charter of 1691. As tensions grew in late summer, Gage was seeking to gain control over the colony's powder magazines (Powder Alarm) and also tried to use the colony's local courts as a means to keep order. Worcester was one of the more rebellious townships, so Gage wrote to his superior in London, the Earl of Dartmouth, that he ""shall soon be obliged to march a Body of Troops into that Township, and perhaps into others, as occasion warrants, to preserve the peace"". On August 16, insurgents had already forced the closure of the courts in Berkshire County and then did the same in Hampshire County on August 30.
On the morning of September 6 a force of 4,622 militiamen marched into Worcester and lined both sides of Main Street, meant as a gauntlet for the King's appointees to pass through. When the 25 court officials arrived in town the same day, they were denied entry to the court house and were instead escorted to the Daniel Heywood tavern to await further instructions. The court officials were well aware of stories of British officials being tarred and feathered (as Boston customs official John Malcolm had been in January), while apparently none of Gage's troops appeared to protect them. Under these circumstances the officials reluctantly signed documents disavowing their appointments by George III and, hats in their hands, were forced to recant out loud their oath of office while being paraded in a procession towards the court house. Gage then had to admit to Dartmouth that Civil Government was near its end and the Courts of Justice were expiring one after another.
The Worcester Revolt demonstrated that American patriots were able to overthrow British authority without a shot being fired. It also convinced British authorities that administrative measures alone proved less and less successful to sustain British rule and that an armed confrontation has become ever more likely. On April 19 next year, the Battles of Lexington and Concord marked the start of the American Revolutionary War."
Robert K. Wright Jr.,446795,Robert K. Wright Jr. (born 1946) is an American military historian and author.,Robert K. Wright Jr. (born 1946) is an American military historian and author.
